epoch,accuracy,auc,f1,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall
0,0.7272727489471436,0.7083333134651184,0.8421052098274231,0.6828852295875549,0.7272727489471436,1.0,1.0,0.0,1.0,0.6015016436576843,1.0,1.0
1,0.7272727489471436,0.5,0.8421052098274231,0.7034725546836853,0.7272727489471436,1.0,1.0,0.0,1.0,0.611090362071991,1.0,1.0
2,0.7272727489471436,0.7083333730697632,0.7700534462928772,0.6700937747955322,0.7777777910232544,0.875,1.0,0.0,1.0,0.6143386363983154,1.0,1.0
3,0.7272727489471436,0.8333333134651184,0.8421052098274231,0.6652615070343018,0.7272727489471436,1.0,1.0,0.0,1.0,0.6150009632110596,1.0,1.0
4,0.7272727489471436,1.0,0.8421052098274231,0.6535780429840088,0.7272727489471436,1.0,1.0,0.0,1.0,0.6165105104446411,1.0,1.0
5,0.7272727489471436,0.7083333730697632,0.8421052098274231,0.6696400046348572,0.7272727489471436,1.0,1.0,0.0,1.0,0.6149917840957642,1.0,1.0
6,0.7272727489471436,0.5833333134651184,0.8421052098274231,0.6900310516357422,0.7272727489471436,1.0,1.0,0.0,1.0,0.6153609156608582,1.0,1.0
7,0.9090909361839294,0.8541666269302368,0.7700534462928772,0.648530900478363,0.8888888955116272,1.0,1.0,0.0,1.0,0.6158280372619629,1.0,1.0
8,0.7272727489471436,0.7916666269302368,0.8421052098274231,0.6773484349250793,0.7272727489471436,1.0,1.0,0.0,1.0,0.6148999929428101,1.0,1.0
9,0.9090909361839294,1.0,0.7700534462928772,0.6320061087608337,0.8888888955116272,1.0,1.0,0.0,1.0,0.6118106842041016,1.0,1.0
10,0.7272727489471436,0.9791666269302368,0.8421052098274231,0.6460620164871216,0.7272727489471436,1.0,1.0,0.0,1.0,0.608546257019043,1.0,1.0
